ID,username,date,text
190,少女17265,2022年02月01日 23:12,沉浸在伤痛中，可怜的孩子都没有熬到新年#刘学州# ​
191,是蛋蛋na,2022年02月01日 23:11,奇迹·笨小孩 我的评分：#电影奇迹笨小孩#1. 又有谁不想做千玺的妹妹呢？高空戏也太危险了，为千玺的敬业精神打call2. 只有普通人最心疼普通人3. 孤儿好可怜，无依无靠，什么都得靠自己。又一次心疼刘学州，遗憾，遗憾杜爸爸没能和他相互依靠，希望下辈子学 ​  展开c
192,牛葫芦路人,2022年02月01日 22:58,#虎年第一条微博#新京报的抖音号也不开评论了，这是要硬抗到底了道个歉很难吗#刘学州家人已委托律师维权# ​
193,杨梅梓桐,2022年02月01日 22:58,新的一年? 歲歲平安虎虎生旺，大吉大旺? 愿新年? 一路生花 ? 虎年虎气冲天。本来，可能的话，这应该是刘学州过得很幸福的一个年，如果他的亲生父母可以善待他一些，如果网络上的那些人可以善待他一些，可惜，没有如果，愿那个世界的你快乐幸福。 ​
194,肖意一肖宇齐,2022年02月01日 22:51,#晚安#啦，刘学州@刘学州a …… ​
195,陈妍chenyan,2022年02月01日 22:36,父母不爱自己，可以难过，可以绝望，但不要放弃自己的生命，毕竟父母只是带你来到这个世界的人，并不是你的全部。请相信父母不爱你，这个世界还是会有更多爱你的人[虎爪比心]。发布了头条文章：《被嫌弃的刘学州的一生》  O被嫌弃的刘学州的一生 ​
196,LimEntertainment,2022年02月01日 22:23,国足不行，a股乱崩，cw尴尬，内娱已完，热搜乱买，西安孕妇，徐州女子，家暴沟通，刘学州刘玉锟等未成年无路可走。还真是一片盛世呐 ​
197,The__new,2022年02月01日 22:23,刘学州就这么被人们忘记了 ​
198,MC---虫虫,2022年02月01日 22:23,#刘学州# 洲洲小朋友，今年的深圳有点冷，愿天堂给你洒满阳光跟温暖 2深圳 ​
199,猫羋森林,2022年02月01日 22:19,#刘学州#世间偶尔凉薄，最惧事事重叠，你还好吗？回来看看吧孩子，爱你的人多过伤害你的人吖 2潍坊 ​
200,一生也才三万天,2022年02月01日 22:07,故影《大海深底》K大海深底 @QQ音乐刘学州他死了！好可惜！这歌仿佛为他写的，前几天还看到他的抖音～ ​
201,米小圈喜欢甜甜圈,2022年02月01日 21:40,#奇迹笨小孩口碑# 好想知道刮台风那天，景彤在学校门卫室里望向远方路的眼神里，有没有哪怕一丝想过哥哥不出现，自己该怎么办，有一瞬间感觉在她的眼神中感受到了迷茫，在电影中看到这个画面的时候，脑海里突然浮现了最近闹得沸沸扬扬的“孙海洋”、“刘学州”事件，忍不住各种脑补#奇迹笨小孩今日上映 ​  展开c
202,崖崖子的小秘密,2022年02月01日 21:39,欧金中，刘学州，八个孩子的母亲……好多负面的消息啊 ​
203,WesAddamsWednesWoeKMHM,2022年02月01日 21:33,到处说希望“寻找真相”的博主们，但愿你们的“坚持真相”这份初心不会变，但愿你们的坚持不是一时的说说而已！之前的有关部门的说法是：早就把八孩的爹带走调查，已安置好孩子们和被害者（八孩的妈妈），可实际上呢…“八孩的爹”早就带孩子回家过年去了，还扬言继续生呢！而且他穿上了好心人给八孩妈 ​  展开c
204,苏沫璃_o,2022年02月01日 21:06,#刘学州#弟弟新年快乐，你现在一定很幸福 属虎的大胖小子 有爸爸妈妈爷爷奶奶的疼爱 真的好好呀 ​
205,苏沫璃_o,2022年02月01日 21:01,弟弟，过年了，我每年都会来和你说新年快乐的，要开心，你应该已经找到了一个幸福的家庭出生啦，你那么善良又有爱心，会碰到好多好多爱你的人 有很疼你的父母 有很爱你的哥哥姐姐  把你当小王子。姐姐希望你可以一直开心，健康，快乐。放心，你走了还有很多很多爱你的人在为你努力  希望那些坏人 ​  展开c
206,第一铁汉火锅店老板娘,2022年02月01日 20:45,我现在，看见大海就会想起州州，看见十五六岁的孩子就会想起州州，想到听见鞭炮两个字会想起州州，听到河北的新闻还是会想起州州，就是现在只要接触到跟他有过关联的东西就会想起他，真是魔怔了一样我真的真的真的希望他能回来啊#刘学州# ​
207,隔得远远的,2022年02月01日 20:31,刚刚才发现鹿岛森是刘学州关注的唯一私人账号.....人们痛苦着自己的痛苦，渴望被解救，可是发现彼此的方式，是噩耗的方式。 ​
208,冰曦微吟,2022年02月01日 20:14,【探索与争鸣杂志｜陆晔：从《新京报》刘学州寻亲风波报道谈互联网时代的新闻业态】回到《新京报》争议报道本身，我个人很赞同展开上述关于“家事”类社会新闻报道路径的讨论，但或许不是“放手”，而是尝试将这个悲情的个体故事置于更具公共性的社会参考框架下展开，既最大限度尝试减少对当事人的心理 ​  展开c
209,半岛都市报,2022年02月01日 20:00,1月31日，刘学州家人委托律师维权。律师除夕夜发文：正义也许会迟到，但绝不会缺席！ L半岛都市报的微博视频 ​
210,恋耀纪实绘,2022年02月01日 19:30,（复制） 我是一名退伍军人，我的女儿在黑龙江林口县遭受了校园欺凌7人殴打我女儿，学校校长老师学生针对我女儿，学校保护打人者，教育局等有关部门颠倒黑白弄虚作假迫害我母女，让我去纪检委法院北京随便告，事发至今三个月，我孩子严重抑郁症，24小时看着生怕出现像刘学州一样的意外 ​  展开c
211,专做南浦六中学区房,2022年02月01日 19:25,刘学州事件已经发生6天，某些不良媒体和大V恶意诋毁抹黑15岁的孩子。让我想起了鲁迅先生的 狂人日记。我翻开历史一查，这历史没有年代，歪歪斜斜的每页上都写着‘仁义道德’几个字。我横竖睡不着，仔细看了半夜，才从字缝里看出字来，满本都写着两个字‘吃人 ​
212,狐狸不爱系裤腰带,2022年02月01日 19:20,这个春节过得一点也不开心，真的，你要是能回来就好了@刘学州a ​
213,ZZU寒假洛阳社会实践团,2022年02月01日 19:16,州州的最近一周歌单[流泪][流泪][流泪][流泪]。现在再看已经没有了[心碎][心碎]，一刹那的恍惚和心痛…我还是不愿意接受你离开的事实[皱眉][皱眉]。刘学州，刘辰逸。你回来好不好，我们都爱你，我好想你啊[流泪][流泪][流泪][流泪][流泪][流泪][流泪]我很心痛没能为你做什么。让你一个人在海边孤 ​  展开c
214,太璞璞,2022年02月01日 19:03,刚刚看完开端。最开始以为就是悬疑片，没想到最后引出网暴现象。更难受的是，这部网剧更新期间，还发生了刘学州的事件。部分人在开端的弹幕里说“别网暴，不能无缘无故的就攻击陌生人”，但转头就又有弹幕在骂另一个角色。网暴，与我们每一个人都息息相关。人们可能因为理解观念不同产生分歧，但不 ​  展开c
215,海燕3636730712,2022年02月01日 18:49,2022年1月31号除夕夜刘学州舅妈委托北京周兆成周律师为刘学州讨回公道，这是2022年新年的第一个好消息，希望周律师能为刘学州早日讨回公道，刘学州的遗愿可以达成，我想说的是虽然刘学州现已去世，但他现在开始不再孤单，我们这些爷爷奶奶叔叔阿姨哥哥姐姐等各界人士会团结一致帮他完成遗愿，期盼罪人 ​  展开c
216,谢汶青,2022年02月01日 18:12,父爱浓烈还是母爱浓烈呢？很多人会回答当然是母爱了。母爱比起父爱无私，但是并不浓烈。我说的假如有父爱的话。如果你像刘学州一般父爱母爱都没有，那什么也谈不上。父爱之所以通常比母爱热烈得多，是因为父爱更容易掺杂个人情绪，比如说传承、希望等。而母爱因为源自真正的骨肉相连、血脉相通 ​  展开c
217,爱国青年刘战神,2022年02月01日 17:51,刘学州家属已经委托律师起诉网暴者，那新京报呢？就没有个后续了？ L爱吐槽的刘战神的微博视频 ​
218,陈老师说易6688,2022年02月01日 17:51,#刘学州家人已委托律师维权# 让这个新闻上热搜吧。 ​
219,王黔至,2022年02月01日 17:49,僵尸校园看到四集，两个在天台想轻生的人在天台聊的内容，感觉很能共情。从小家里充斥贬低排挤，同学欺凌，其他朋友害怕靠近你，会遭受一样的下场，只能敬而远之。不知道该和谁倾诉，自己独自面对黑暗与孤独，每一天都是痛苦的，而你不知道这痛苦将还会持续多久？逐渐怀疑自己的存在是不是一个错误。 ​  展开c
220,回头成一笑,2022年02月01日 17:20,#刘学州#刘学州虎年快乐 ​
221,Why-coo,2022年02月01日 17:10,刷到这个的时候就想到了 刘学州​三亚 大海…来不及，你没时间了​你想得开，也一样喜迎新年了可是你太小了想不开​，除了生死，其他都叫擦伤 LWhy-coo的微博视频 ​
222,wanmengzhe,2022年02月01日 17:07,#官方通报徐州丰县生育八孩女子情况#任何一个热搜都是吃瓜群众的内斗引起的，内斗越厉害，热搜越持久。这个事主要是圣母批评当地政府不作为，政府也不是无所不能，每月给3000，给建房子，已经是越界。利用舆论压力帮着找到亲身父母，父母会接受，难说，刘学州这样的都不要呢。这就是社会的底层。  ​  展开c
223,栶fly,2022年02月01日 17:04,我第一次为一个陌生人哭泣，真的很心疼你，来世希望可以和你做好朋友!后悔第一次刷到你寻亲的视频的时候没有及时帮助你，等到你离开我才发现你是一个这么优秀的人。可惜世上没有时光机，一切不能重来。今天是大年初一，我去菩萨那为你许了愿，新的生活要天天开心，有一个幸福的家庭!我会永远记得你! ​  展开c
224,碧海击浪,2022年02月01日 17:02,【肥肥警官的笔记 刘学州身亡，他的父母和网暴者，都跑不了！】         ——天网恢恢，疏而不漏！这几天，这些涉嫌犯罪的相关嫌疑人一定瑟瑟发抖、睡不着觉了吧？#小红书精选#O网页链接 ​
225,一箱烤地瓜吃不饱,2022年02月01日 16:41,大年初一，刘学州在天堂的第一个春节  ​
226,故乡原风景啊,2022年02月01日 16:10,新年快乐州州，大家的祝福你一定会收到，我很相信玄学，因为在我身上就应验过许多事。再看看他们：那男的吃的肥头大耳，那女的穿的花枝招展，却偏偏容不下一个15岁的少年，有时候会现世现报的#刘学州# ​
227,小阳仔-努力开心,2022年02月01日 15:57,@刘学州a 很抱歉， 州州，看到你去世的消息，我真的真的非常心痛我想和你一起去那个地方，你为什么就不带上我一起去呢？生亦平凡，我很羡慕你，很崇拜你，你就是我的偶像，你很优秀，可为什么就早早得结束了人生？我很难过，我实在受不住失去的日子了。无论你是否还活着，回答我好吗？跟我说一句 ​  展开c
228,陌浅嫣shine,2022年02月01日 15:09,刚刚翻了翻刘学州的微博，顺着他的点赞，看到了鹿道森和一些其他人的人生有些无力，只是愈发觉得人生啊，还是需要一些爱去托举，而这份爱，不一定与金钱有关我父母再没钱，在我小时候也会想办法给我买个纸杯蛋糕庆祝生日，我曾是很多年的留守儿童也没有心生怨恨因为每次打电话他们会告诉我很想我， ​  展开c
229,第一铁汉火锅店老板娘,2022年02月01日 15:01,#刘学州家属准备起诉网暴者#新年第一天的第一个好消息 ​
230,平凡颖不平凡,2022年02月01日 14:38,#刘学州去世#一条人命 ​
231,迪然921,2022年02月01日 14:03,刘学州生于农历2006年4月12日 他却一直过着9月28的生日 他说如果有可能，明年他还想过9月28的生日 2019年才知道自己并不是现在家庭的亲生孩子 犹豫了一年多，他也怕过，怕是被亲父母不要的孩子 可是最后他还是去找了…谁也想不到，找到才一个月的时间 直接导致了2022年1月24日才15周岁的他永远离开了  ​  展开c
232,迪然921,2022年02月01日 13:54,刘学州生于农历2006年4月12日 他却一直过着9月28的生日 他说如果有可能，明年他还想过9月28的生日 2019年才知道自己并不是现在家庭的亲生孩子 犹豫了一年多，他也怕过，怕是被亲父母不要的孩子 可是最后他还是去找了…谁也想不到，找到才一个月的时间 直接导致了2022年1月24日才15周岁的他永远离开了  ​  展开c
233,牛葫芦路人,2022年02月01日 12:52,#刘学州家人已委托律师维权#看到有评论再争论网暴或者遗弃哪个才是罪魁祸首，这个争论没有意义。对于刘学州来说，父母生儿不养，没有给予他任何骨肉亲情，这是家庭的耻辱。而网络暴力，特别是大批网民，在不了解事实真相的情况下，贸然对一个孩子恶语相向，这是社会的耻辱。新京报之流的媒体，只关 ​  展开c
234,我爱家乡金灿灿的油菜花,2022年02月01日 09:41,网络暴力何时休！昨晚很晚看到学州舅妈发的州州3年前的过年视频，视频里州州还是一个腼腆，帅气的小孩！舅妈所有的视频里，都有州州的影像。哭了一次又一次，多好的一个孩子呀！就这么被网络暴力打击的选择轻生！人生而平等，每个人都有追求幸福生活的权力，过上幸福生活是人生向前的巨大动力！      ​  展开c
235,施洛斯008,2022年02月01日 09:11,女孩为什么喜欢渣男——2022第37本书《沟通力》女孩为什么喜欢渣男？他们不仅会甜言蜜语，让妹子心花怒放，他们还会用行动让妹子觉得贴心和关心，期待和她们交往。比如，妹子来生理期了：普通男生：多喝热水。妹子：呵呵，你特么多喝点热水去吧。渣男：立马泡一杯红糖水送过去，买些小礼物，安慰她 ​  展开c
236,TVBC水汪汪,2022年02月01日 08:17,除夕之夜，周律师写的刘学州“人在哪里？魂归何处”叫人泪目今早起床后，首先刷到这篇文章：《除夕，刘学州你在哪里？周兆成律师2022年除夕夜致刘学州》。仔细拜读后，叫人泪目。读着周律师的这篇大作，感觉他已不是一个律师，而是一个慈祥的父亲，一个有情怀的导师，一个有血有肉的大写的人。周 ​  展开c
237,血神魔,2022年02月01日 08:16,又是一年过去了，家真的不容易回。少小离家大不回、谁知仍有克难垒采血十二次找家、多年以前就采血希望你们帮帮我！我真的很想回家孤苦在外二十多年、可惜报案时已经过了法律追诉时效。我真的真的好累、哪怕以后我死了也不想做一个漂泊在外的孤魂野鬼宝贝回家寻亲编号155090登记过后最可笑的 ​  展开c
238,唯一的烟花lsh,2022年02月01日 01:41,补发1.29天下要闻：1、林郑月娥：香港疫情严峻，已向广东省求助希望提升检测能力。2、国家航天局：完成勘察后再用十年左右完成月球科研站设施建设。3、世界黄金协会：中国黄金ETF总持仓量达到历史最高纪录。4、中消协：建议划定盲盒经营红线，禁止对低龄儿童营销盲盒。5、滴滴、美团等网约车 ​  展开c
239,最是一低头的温柔_,2022年02月01日 01:32,@刘学州a 嗨，小伙儿！新年快乐！这会儿已经是大年初一的凌晨了，我想白天抽个空去寺庙祈福，有你一份哦~前几天看到网上有人说有位法师为你超度了，不知真假，不过我还是决定大年初一为你祈福，希望你真的能蒙佛菩萨接引，脱离六道，去西方极乐世界！? ? ? 小小的你还是放下尘世这一切吧，佛菩萨 ​  展开c
240,_中微子_,2022年02月01日 00:00,春晚前半段我跑步去了 回来完整看了3 个节目  1） 韩红的【这世界这么多人】 这歌本来就很喜欢 韩红也唱得不错 但是与莫文蔚 曾溯恕3人比较 我不知怎么表达 都喜欢  2）贾玲张小斐的小品 婆媳斗嘴 人参公鸡 老年恋爱 很奇怪的笑点 笑不出来  3）姜昆的相声 用广东话唱【军港之夜】 我笑了一下…然后不 ​  展开c
241,愿圆啊萌omo,2022年02月01日 00:00,【不忘初心】★年终总结★  2021年是开始慢慢解开心结的一年。可能是20年的挣扎与煎熬都在21年化解了  我慢慢开始接受自己直视自己 也不觉得一分一秒都那么难熬了 只是还是跌跌撞撞 觉得前路黑暗茫茫。年初过了一段比较快乐的时光，可能 以后的时光都不能和它相比了吧 也可能 我的福气都在后头呢吧 ​  展开c
242,是可爱的柿子呀,2022年01月31日 23:59,#刘学州# 正义不会迟来！ ​
243,湖北华图,2022年01月31日 23:57,湖北省公务员#广东省考##山东省考##国考面试#  刘学州事件和《开端》都告诉我们：拒绝网络暴力！ ​​​
244,兔然_发财,2022年01月31日 23:57,#刘学州#新年快乐，弟弟 ​
245,师海峰68422,2022年01月31日 23:56,#刘学州家人已聘请律师维权#希望大家多多支持#新京报# 2上海·徐家汇 ​
246,不准释放的静态变量,2022年01月31日 23:56,#寻找李莹##寻找李莹#今天是过年，看到这个新闻，我无法安心过年！这是法律和人性的丧失，这是魔鬼！联想到之前的寻找亲生父母的#刘学州#，一个孩子，s在了三亚。世界本是美好的。但是有坏人让这个世界不仅不美好，还充满罪恶。这些人，不仅应当被法律惩罚，死后的灵魂也是肮脏的，我希望有地狱去 ​  展开c
247,小海去远方,2022年01月31日 23:51,#虎年第一条微博#新年听到的第一个好消息，也让我近日低沉的情绪好了很多州州弟弟，等那一天到来的时候，记得要早日回来，千万不要迟到啊！ 州州，新年快乐哇@刘学州a L带着小海去远方的微博视频 ​
248,添下文鸳,2022年01月31日 23:50,#春晚#刘学州新年快乐 ​
249,宝慧丫丫,2022年01月31日 23:48,除夕了、明天初一、万象更新、@刘学州a 新年快乐鸭！ 2保亭黎族苗族自治县 L宝慧丫丫的微博视频 ​
250,丫头53162,2022年01月31日 23:46,感谢舅妈，感谢律师！正义也许会迟到，但绝对不会缺席！希望那对无良父母以及所有网暴的人，都能得到相应的惩罚！#刘学州 L丫头53162的微博视频 ​
251,用户7717694613,2022年01月31日 23:44,#刘学州#今年过年了，学州 ​
252,爱福泥的玲珑偈,2022年01月31日 23:43,#愿你遇到的人都是温暖的# 《玫瑰开在爱海少年的坟头》     （鹿道森.刘学州.天堂里快乐过除夕吧）鹿归深林 舟行大海这个冬天没下雪却把你永远的冰封定格乌鸦听不见雏鸟饥渴的哀鸣狂风暴雨吞噬了最后的生机春天的门开了 没有人走进来烟花在天空炸然绚丽多彩狗在刨坑我问它你要葬了谁？坟头 ​  展开c
253,小臭宸呀,2022年01月31日 23:41,这世上温暖的人那么多，新年快乐啊，刘学州小朋友来生一定会过的超级甜！ ​
254,胜青莲文斋论事,2022年01月31日 23:39,#刘学州家人已委托律师维权#我们建议立即起诉新浪微博，并将新浪微博负责人绳之以法。@微博管理员 @微博客服 @微博法律 @微博小秘书 @绵阳网警巡查执法 @曹国伟 配合一下 ​
255,紫霞莓子,2022年01月31日 23:37,过年好呀@xiaolwl 李大夫@刘学州a 州州，多遗憾你没过年 ​
256,物理文化与施郁世界线,2022年01月31日 23:37,#刘学州# 还有人记得吗？ ​
257,嘿嘿呀嗨嗨,2022年01月31日 23:33,今天给好多朋友发了新年祝福，忽然想起来前些天刚刚离开的刘学州弟弟，或许我们会抱怨家里的这些那些不如意，可至少我们还有家；又或许我们与家人有这样那样的无法沟通，但总归还有亲情维系。虎年来到，打开手机，欢声笑语一片，还有谁记得那个未曾成年却已坎坷一生、不曾感受父母片刻温情的15岁男孩~ ​  展开c
258,黑梅话梅糖,2022年01月31日 23:31,刘学州，一个15岁的男孩，3个月被亲生父母卖掉换彩礼钱，4岁养父母意外双亡成为孤儿，小学被同学欺凌，初中被男老师猥琐，被校长劝退学，成绩很好，却不让他读高中，11岁开始自己兼职打工供自己上学。15岁寻亲被父母拒绝拉黑诽谤，遭遇网暴，一路上都没有遇到能护他周全的人，最后他带着绝望永远的留在 ​  展开c
259,敛韬C7,2022年01月31日 23:31,"我分享了【避免更多「刘学州」式悲剧的发生，我们能做些什么？】, 快来看吧！ | O避免更多「刘学州」式悲剧的发生，我们能做些什么？ ​"
260,胜青莲文斋论事,2022年01月31日 23:30,#刘学州家人已委托律师维权#如果微博及时有效处理，绝不会出现网暴现象的，总之微博责无旁贷。@绵阳网警巡查执法 @微博小秘书 @微博法律 @微博客服 @微博管理员 ​
261,唐老鸭爱阿仔,2022年01月31日 23:26,@刘学州a 除夕快乐… ​
262,羽毛格格啊,2022年01月31日 23:22,刘学州家人已经聘请律师了，希望快点给州州一个公道? ? ? #刘学州# ​
263,一颗流芯,2022年01月31日 23:16,新年快乐@刘学州a ​
264,吃草的小兔子,2022年01月31日 23:08,"7:/ 昨晚用我自己的方式为你超了度，送了qian。晚上睡觉梦见自己也吃了yao,可能因为自己也一度有这种念头的原因。都说zi sha的人去了那边也会很受罪，我觉得不公平。希望你在那边好。 #一路走好 #心疼 #祈祷 #刘学州 ；##VWeWqs94up8##打开抖音搜索 ​"
265,KeepOnGoing319,2022年01月31日 23:07,#刘学州#弟弟新年快乐 ​
266,华图教育天津分校,2022年01月31日 23:06,#天津市考#  刘学州事件和《开端》都告诉我们：拒绝网络暴力！ ​​​
267,壹得格,2022年01月31日 23:05,#刘学州# 除夕春雨早寒，新年春晚家家团圆，在这样的节日里，还是有些遗憾和难过，事件遗忘得太快，害怕内心变得麻木僵硬，在这里发个信息给学州小朋友，希望你在那边能得到幸福安宁，除夕快乐新春快乐！ ​
268,蔓珠莎华W,2022年01月31日 22:58,@刘学州a 亲爱的小孩，今天是第八天了，你过得好吗？今天是除夕，希望你也是开开心心的过年，也祝你在新的一年里所求皆达成！ ​
269,周兆成律师,2022年01月31日 22:56,刘学州家人已委托律师维权，代理律师除夕夜泪崩发文：刘学州你在哪里？#刘学州家人已委托律师维权##刘学州家人已聘请律师维权# L周兆成律师的微博视频 ​
270,茶山玫玫,2022年01月31日 22:44,骂井川里予的各个都是贞洁烈女呗？女生爱干啥干啥你别管了行吗  有些人一遍骂井川里予一遍转发阻止网暴刘学州的微博是有病？ ​
271,编剧-张晓坤,2022年01月31日 22:44,本来想写写刘学州的，但是身体又有点累，所以打算过段时间再写。大概吧。最后愿逝者安息！ ​
272,小八宝7,2022年01月31日 22:43,#刘学州# 你应该想到这个年你没地方去吧，才会如此匆忙走了吧！  祝你在那边能寻一双好父母！ ​
273,子月贰叄jy,2022年01月31日 22:39,#刘学州#新年快乐 刘学州弟弟还有网友们惦记着你 你不是一个人 ​
274,布衣易族,2022年01月31日 22:39,春节了，不知道新京报写文章的人是否过的开心快乐？也在全家团圆过年吗？用刘学州一个15岁孩子的生命赚取流量，该不该付出代价？ ​
275,阿来美美子,2022年01月31日 22:37,幸福的家庭都是一样的不幸的家庭各有各的不幸没有爱就一定可以找到很多的问题 很多的借口很多的难言之隐而有爱什么都不是问题 让亲情归给亲情没有亲情的就只有归回冷漠 #刘学州将账户余额一半捐石家庄孤儿院#愿天堂的你 新年快乐  2襄阳 ​
276,调整重来,2022年01月31日 22:34,新的一年了祝每个人开心快乐呀墨茶和刘学州也要快乐呀今天所有人都要快乐 ​
277,aimarkangkang,2022年01月31日 22:25,州州，新年快乐? ，在那边要好好的#刘学州# ​
278,鸣人出场了叫我,2022年01月31日 22:08,#刘学州# 州州 除夕快乐 ​
279,阿兔0731,2022年01月31日 22:03,『如何让刘学州、鹿道森的悲剧不再发生？』O如何让刘学州、鹿道森的悲剧不再发生？ ​
280,花童紫,2022年01月31日 21:45,@刘学州a 人间的新年天上也能看见吗，也许你正枕着星河安心地睡着。新年快乐— ☁️ ʙʟᴜᴇ •͈ᴗ•͈ ♡ —◦⤴⤵◦ ​
281,张静媛i,2022年01月31日 21:41,陈鸿宇《理想三旬》K理想三旬（@网易云音乐）宝贝，除夕啦，想你的心依旧没有变，#刘学州 ​
282,小hhhh哈哈哈cc,2022年01月31日 21:40,#刘学州#新年快乐?  ​
283,酸酸来迟Air,2022年01月31日 21:14,#墨茶official##刘学州##城南花已开# 新年快乐 希望你们在那个世界能快乐 ​
284,快乐的疯子Zz,2022年01月31日 21:03,新年快乐，刘学州。 ​
285,请允许一切发生得,2022年01月31日 20:59,刘学州弟弟新年快乐 ​
286,流浪的猫921,2022年01月31日 20:55,爷爷，州州新年快乐在那边一定要开开心心喔? @刘学州a L流浪的猫921的微博视频 ​
287,红豆啊啊,2022年01月31日 20:50,刘学州新年快乐? ? 让人心痛的娃，愿你能够幸福  ​
288,钢铁咩,2022年01月31日 20:49,#刘学州#新年快乐弟弟@刘学州a ​
289,内蒙古华图,2022年01月31日 20:42,#广东省考# 刘学州事件和《开端》都告诉我们：拒绝网络暴力！ ​​​ 2呼和浩特 ​
290,柠檬树下的小仙女z,2022年01月31日 20:40,州州想你了@刘学州a #刘学州遗书希望加害者得到惩罚# ​
291,月上海棠之花,2022年01月31日 20:36,除夕万家灯火，但是想起你，悲从中来。@刘学州a 2焦作·武陟县 ​
292,五百万20160924,2022年01月31日 20:09,感冒严重，头疼的要爆炸了，两个鼻子? 都不通，还流鼻涕，晚上睡觉呼吸困难。浑身难受，太阳穴部位疼的不行，真的要死啦。北京的822公交车我等了两年多了，一年四季，每天都是让我等一个多小时，好冷的今天。严重感冒，还要在这么零下好几度的公交车站牌站着不动等车一个多小时，太心累了，太累 ​  展开c
293,希希子呀-,2022年01月31日 20:07,新年快乐啊，弟弟@刘学州a ​
294,狐狸不爱系裤腰带,2022年01月31日 20:03,刘学州有没有在看春晚@刘学州a ​
295,仙鬓,2022年01月31日 20:01,#开端##网暴#电视剧开端 写给《开端》：        真的我感觉最近的国产片质量越来越好，真的最近看的俩部剧都没有踩雷。样本估计概率可得，我对国产剧的满意度是100%。       对《开端》的初印象就是国内第一部无限流影视剧（虽然有争议），因为我看过的第一本无限流是“全高”，木木写的太好 ​  展开c
296,断舍离的荣錦儿,2022年01月31日 19:59,当她删除你得时候其实就像刘学州父母狠心把他送人一样，你对她并不重要，珍惜当下拥有的放弃那些不值得的 ​
297,狐狸不爱系裤腰带,2022年01月31日 19:40,刘学州要是在就好了 ​
298,莺歌山之冬,2022年01月31日 19:35,不知道多少年以后还会不会有人记得这个跟命运做过斗争，努力把自己活成一束光的男孩，他叫刘学州，他生于2006年，逝于2022年，他这短短的一生，他潇洒过，他说仰天大笑出门去，我辈岂是蓬蒿人，他积极过，他说抱怨身处黑暗，不如提灯前行，他在生命的的最后一刻，都把阳光留给世界，他是个勇敢的小孩， ​  展开c
299,黑梅话梅糖,2022年01月31日 19:32,今天大年三十！你应该跟养父母在一起团聚? 不在孤单了！万家灯火也有你一盏！@刘学州a 你的希望你的遗愿早早完成，画上完美的句号。 ​
300,所有云都跑到我这里,2022年01月31日 19:24,我妈评论刘学州...说他要求父母给他买房云云还说他那么小不应该去搞那些直播直面网络暴力直接给我气晕 ​
301,哎哟钱包怀孕啦,2022年01月31日 19:22,#刘学州遗书希望加害者得到惩罚##刘学州#没有过年的喜悦，几天来心被刘学州弟弟揪着，悲愤与悲伤并存，从来不信鬼神，现在又希望真有鬼神存在，希望刘学州弟弟能回来把伤害他的人统统带走！……但是又心痛如果这样会玷污刘学州弟弟双手！ ​​​
302,SimoneQiu祖毅,2022年01月31日 19:13,中国的传统思维模式中， 只要是长辈，父母 就是不会害自己的孩子的，为自己孩子好的那么#刘学州# 的 亲生父母是否也是为他好，不会害他。 在中国有多少父母打着为孩子好的幌子。做着满足自己私欲，控制欲的事情。 ​
303,别管我啦就要当没心没肺的搞笑女,2022年01月31日 19:06,@刘学州 除夕快乐。 ​
304,用户5208072819,2022年01月31日 19:02,我发表了头条文章:《刘学州》 O刘学州 ​
305,要温柔昂,2022年01月31日 19:00,意难平啊#刘学州##除夕#  ​​​
306,小兔NeverFearTruth,2022年01月31日 18:55,#虎年第一条微博#@刘学州a  有人陪你吃年夜饭吗 ​
307,想去旅行想自由,2022年01月31日 18:49,真的就心寒想哭，打开电视我就感慨了一句现在的媒体官媒也都不是以前的媒体了，然后聊到了被逼死的十五岁少年，官方无避而不谈很多关键点的徐州生八孩女子，然后说了下我近期接触过谈过的男的，基本上我说试试（重点就是“试试），然后没两天就开始不断试探你，放假过年啥时候跟我一起，我今年可以跟家 ​  展开c
308,不吃糖是我,2022年01月31日 18:32,刘学州，新年快乐！！ ​
309,不教度阴山,2022年01月31日 18:28,新年快乐哦@刘学州a ​
310,欣语妈咪天艺啦,2022年01月31日 18:24,@小米猪儿--彩 @轻描淡写的左岸 @刘学州a  要幸福啊  不会有人忘记你们 甜美的姑娘 优秀的小姐姐 懂事且心疼的州州  新年快乐  ​
311,王瑞平-知心世界姐,2022年01月31日 18:14,刘学州的悲剧，是父母遗弃，媒体失职，网络暴力，以及相关部门不作为多方合谋酿成的。媒体本应是一面镜子，但如果镜子本身都不够明亮，又如何照出世间百态？ 当娱论的权力掌握在不清白的人手里，自然只能导向黑暗！亲生父母的遗弃，固然是悲剧之源。除此之外，媒体引导舆论造成的推波助澜，媒体 ​  展开c
312,姗姗姗儿-,2022年01月31日 17:56,七天了，每天都很难过。今天除夕了，希望你是和养父母.姨妈，一起吃年夜饭。#刘学州# ​
313,王瑞平-知心世界姐,2022年01月31日 17:56,刘学州，用尽全力“对世界之痛报之以歌”，亦难抵群体失心疯似的自恋型暴力压迫！刘学州的生命悲剧告诫我们，在失了智的不需承担责任的群体里，很难有事实，同理心。你把注意力在生活里，生活里满满的都是疾苦！我们只有把注意力回归自己内在成长，自己给自己造糖水喝，方可取之不尽用之不 ​  展开c
